developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier,primary_language_encoded
nzavala,3529,693.0,67,162,105.0,54.0,292.0,"Rust,C++,Ruby,Dart,C,Python",2.585,Python,6,0.67,0.03,0.054,37,0.343,2.66,-0.3096,-0.1282,9.66,0,0,0,0,385,13,0.2556,1,15
gina36,1737,167.0,4,20,12.0,22.0,52.0,"Go,Julia,SQL,Python",2.0,Python,9,0.258,0.453,0.0,19,0.577,2.81,2.6815,0.0088,4.76,0,0,1,0,112,37,0.3112,1,15
dev_2145,3505,6303.0,1725,38,119.0,118.0,855.0,"R,C++,Ruby,Julia,JavaScript,Java,C,Elixir,Go,Swift",3.3219,C,11,0.555,0.395,0.812,89,0.703,3.83,5.9696,-0.1561,9.6,1,1,1,21,1359,125,0.4183,2,0
amy82,2114,2476.0,370,162,1806.0,883.0,187.0,"Haskell,PHP,Ruby,Julia,C#,Kotlin,SQL,TypeScript,JavaScript,Swift",3.3219,Kotlin,15,0.971,0.596,0.798,71,0.971,2.82,4.3378,-0.1584,5.79,1,1,1,35,2778,84,0.5539,2,12
dev_4110,2968,416.0,12,231,52.0,49.0,81.0,"Go,C,Kotlin",1.585,C,8,0.635,1.0,0.401,53,0.566,1.65,6.3586,0.062,8.13,0,0,0,0,2042,14,0.3693,1,0
joshua51,2753,57.0,0,30,7.0,7.0,17.0,"Scala,PHP,Rust,Haskell,JavaScript,Dart,Kotlin,C,SQL,Go,Elixir",3.4594,Kotlin,5,0.492,0.595,0.13,48,0.828,1.2,2.8194,0.0384,7.54,1,1,0,90,57,67,0.378,1,12
amandawarren,2910,5561.0,248,112,65.0,124.0,761.0,"CSS,R,Rust,C++,Dart,Haskell,Go,Elixir",3.0,Haskell,13,0.576,0.821,0.878,49,0.923,3.38,7.3312,0.0776,7.97,0,1,1,0,455,52,0.5125,2,8
navarroangela,1007,303.0,41,468,77.0,21.0,20.0,"Scala,R,C++,Java,C#,C,TypeScript,JavaScript",3.0,TypeScript,7,0.769,0.537,0.401,30,0.22,2.07,5.1499,0.0264,2.76,1,0,1,12,501,27,0.3648,1,23
dev_4989,2593,6170.0,790,19,41.0,45.0,400.0,"CSS,Scala,R,PHP,Rust,Swift,Ruby,C,Python,Java,Elixir",3.4594,CSS,18,0.94,0.876,0.812,74,0.625,3.55,1.9968,-0.1044,7.1,0,1,1,0,18421,18,0.5648,2,3
philip80,2932,183.0,0,62,13.0,12.0,76.0,"HTML,C++,C#,C,Haskell,Swift",2.585,HTML,14,0.755,0.0,0.463,34,0.744,1.84,2.0976,0.0501,8.03,0,0,1,0,218,40,0.3116,1,7
