developer_id,account_age_days,total_commits,commits_last_90d,total_repos,pull_requests_merged,issues_closed,stars_received,languages_used,language_entropy,primary_language,framework_count,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,commit_trend_slope,activity_decay_lambda,years_active,has_bio,has_company,has_location,bio_length,avg_repo_size_kb,avg_repo_description_len,developer_dna_score,developer_tier
nzavala,3529,693,67,162,105,54,292,"Rust,C++,Ruby,Dart,C,Python",2.585,Python,6,0.67,0.03,0.054,37,0.343,2.66,-0.3096,-0.1282,9.66,0,0,0,0,385,13,0.2556,1
gina36,1737,167,4,20,12,22,52,"Go,Julia,SQL,Python",2.0,Python,9,0.258,0.453,0.0,19,0.577,2.81,2.6815,0.0088,4.76,0,0,1,0,112,37,0.3112,1
dev_2145,3505,6303,1725,38,119,118,855,"R,C++,Ruby,Julia,JavaScript,Java,C,Elixir,Go,Swift",3.3219,C,11,0.555,0.395,0.812,89,0.703,3.83,5.9696,-0.1561,9.6,1,1,1,21,1359,125,0.4183,2
amy82,2114,2476,370,162,1806,883,187,"Haskell,PHP,Ruby,Julia,C#,Kotlin,SQL,TypeScript,JavaScript,Swift",3.3219,Kotlin,15,0.971,0.596,0.798,71,0.971,2.82,4.3378,-0.1584,5.79,1,1,1,35,2778,84,0.5539,2
dev_4110,2968,416,12,231,52,49,81,"Go,C,Kotlin",1.585,C,8,0.635,1.0,0.401,53,0.566,1.65,6.3586,0.062,8.13,0,0,0,0,2042,14,0.3693,1
joshua51,2753,57,0,30,7,7,17,"Scala,PHP,Rust,Haskell,JavaScript,Dart,Kotlin,C,SQL,Go,Elixir",3.4594,Kotlin,5,0.492,0.595,0.13,48,0.828,1.2,2.8194,0.0384,7.54,1,1,0,90,57,67,0.378,1
amandawarren,2910,5561,248,112,65,124,761,"CSS,R,Rust,C++,Dart,Haskell,Go,Elixir",3.0,Haskell,13,0.576,0.821,0.878,49,0.923,3.38,7.3312,0.0776,7.97,0,1,1,0,455,52,0.5125,2
navarroangela,1007,303,41,468,77,21,20,"Scala,R,C++,Java,C#,C,TypeScript,JavaScript",3.0,TypeScript,7,0.769,0.537,0.401,30,0.22,2.07,5.1499,0.0264,2.76,1,0,1,12,501,27,0.3648,1
dev_4989,2593,6170,790,19,41,45,400,"CSS,Scala,R,PHP,Rust,Swift,Ruby,C,Python,Java,Elixir",3.4594,CSS,18,0.94,0.876,0.812,74,0.625,3.55,1.9968,-0.1044,7.1,0,1,1,0,18421,18,0.5648,2
philip80,2932,183,0,62,13,12,76,"HTML,C++,C#,C,Haskell,Swift",2.585,HTML,14,0.755,0.0,0.463,34,0.744,1.84,2.0976,0.0501,8.03,0,0,1,0,218,40,0.3116,1
jordan71,1430,1878,249,4,11,17,26,"Lua,Go,Ruby,Dart,TypeScript,JavaScript,Swift",2.8074,Swift,8,0.29,0.356,0.0,21,0.45,1.29,6.9423,-0.0914,3.92,1,0,1,42,1157,4,0.3526,1
frazierjared,1670,66,10,6,5,5,124,HTML,0.0,HTML,9,0.0,0.138,0.295,28,0.224,1.36,-1.9653,0.0764,4.57,0,0,1,0,23,53,0.1229,0
andrew55,3718,1364,145,110,305,477,262,"CSS,Lua,Go,JavaScript,Dart,Kotlin,C,Elixir,Python,Haskell,Shell,Java,Swift",3.7004,Kotlin,12,0.833,0.953,0.865,84,1.0,3.32,7.5577,-0.1506,10.18,1,1,1,25,2266,101,0.5803,2
jamie94,3208,9837,717,268,375,98,638,"CSS,Scala,HTML,Haskell,Rust,C++,Ruby,C,SQL,TypeScript,Go",3.4594,TypeScript,16,0.905,0.581,0.662,81,0.67,2.9,6.6998,-0.1245,8.78,1,1,1,100,3746,45,0.5027,2
dev_7450,610,219,9,6,0,0,14,"Haskell,Elixir",1.0,Haskell,0,0.354,0.426,0.062,23,0.453,0.95,-0.545,0.1689,1.67,1,0,0,73,32,32,0.1974,0
brownmaria,3051,1843,438,6,3,1,7,"Ruby,Shell,C",1.585,C,2,0.463,0.353,0.68,49,0.312,1.23,2.3253,-0.0392,8.35,1,0,0,35,63,0,0.2929,0
corey37,4335,1392,183,69,129,68,1241,"Scala,HTML,R,C#,C,Go,Elixir",2.8074,Go,10,0.806,0.72,0.74,40,0.343,3.85,5.326,-0.1414,11.87,0,1,1,0,4143,74,0.5163,2
cmorris,2821,2900,459,254,31,37,862,"CSS,Julia,Dart,Shell,Elixir",2.3219,Julia,7,0.251,0.533,0.727,86,0.686,4.05,-0.3099,-0.2205,7.72,1,1,0,25,877,9,0.377,2
