developer_id,total_commits,commits_last_90d,stars_received,pull_requests_merged,issues_closed,total_repos,language_entropy,language_count,framework_count,primary_language,languages_used,has_readme_pct,has_tests_pct,has_ci_pct,commit_message_avg_len,fork_to_original_ratio,languages_per_repo_avg,avg_repo_description_len,has_bio,has_company,has_location,has_blog,commit_trend_slope,activity_decay_lambda,account_age_days,years_active,consistency_score,tech_diversity,quality_volume_ratio,collab_index,recent_activity_ratio,developer_dna_score,developer_tier,profile_type
dev_477574,278,21,217,53,2,18,1.8156,6,4,C,"Rust,R,C,JavaScript,Python,Swift",0.8774,0.9511,0.497,23.64,0.9433,2.4116,80.19,0,0,1,1,-0.5514,-0.273,2885,7.9,0.9852,1.0375,1.3833,1.3437,2.1444,0.5347,2,standard
dev_328455,2810,1083,272,37,58,13,1.2682,5,2,Rust,"C++,Elixir,TypeScript,Scala,Swift",0.6499,0.2817,0.2162,64.7,0.3,3.2575,86.42,0,1,1,1,0.2442,0.1889,955,2.62,0.5783,0.5073,0.4633,1.6855,4.0193,0.518,2,standard
dev_688878,1664,265,1048,4,15,27,1.2219,2,3,Ruby,"Kotlin,Elixir",0.3862,0.271,0.1159,54.4,0.3684,1.7898,95.04,1,0,1,1,2.295,-0.2974,2187,5.99,0.6004,0.6109,0.3445,0.8897,3.764,0.4345,1,hybrid_high_vol_low_qual
dev_107921,774,388,1093,355,147,69,2.9753,8,4,Scala,"C++,Swift,Scala,R,C,Java,Go,Kotlin",0.8871,0.8524,0.7285,61.27,0.2465,2.7379,168.14,0,1,1,1,2.1655,-0.4173,2219,6.08,0.973,1.7002,1.2226,1.4593,10.0,0.7605,1,hybrid_low_vol_high_qual
dev_554702,493,162,13,1,1,33,0.8816,3,1,Python,"Python,Rust,Scala",0.1824,0.2205,0.2959,35.89,0.2238,2.3682,7.06,0,0,0,1,-3.3119,-0.2368,1578,4.32,0.7375,0.2204,0.3677,0.309,5.4902,0.34,0,standard
dev_432683,1740,42,12,3,19,8,0.8104,3,0,Swift,"R,JavaScript,PHP",0.1881,0.1524,0.0412,35.2,0.3747,1.7262,36.21,1,0,0,1,-1.6969,0.0688,1284,3.52,0.6031,0.0,0.1716,1.3617,0.337,0.3339,0,hybrid_high_vol_low_qual
dev_924337,5295,713,98,18,21,41,2.0912,7,2,PHP,"JavaScript,Scala,Swift,C,C++,Rust,Python",0.8835,0.8487,0.7739,70.26,0.1729,2.1908,97.18,1,1,0,1,1.3887,-0.4072,3672,10.06,0.9278,0.8365,0.9645,0.9808,5.378,0.6273,2,standard
dev_199033,337,69,11,3,2,20,1.3801,4,2,Python,"Scala,R,Go,PHP",0.2381,0.4567,0.0983,21.78,0.9221,1.2239,40.36,0,0,1,0,-2.0196,0.4422,1647,4.51,0.5447,0.552,0.4788,0.5797,3.5089,0.3141,1,standard
dev_695576,5221,816,242,99,3,27,2.1781,6,4,Kotlin,"JavaScript,Rust,Java,Kotlin,Elixir,Swift",0.7642,0.9059,0.8594,72.19,0.1062,2.6924,39.06,1,0,1,1,2.3384,-0.1005,1890,5.18,0.6041,1.2446,0.9808,1.3764,3.2255,0.6327,2,standard
dev_921299,54,19,11,3,3,41,1.0225,1,0,Rust,PHP,0.1863,0.1884,0.3692,54.94,0.9446,1.7363,0.0,1,0,0,0,-1.4144,0.6255,523,1.43,0.2463,0.0,0.5892,0.5174,1.8249,0.281,2,standard
dev_988346,2542,250,232,81,29,41,2.1328,5,4,C++,"Scala,Java,Swift,R,C++",0.8807,0.9661,0.9777,49.66,0.2889,2.3286,67.81,1,1,0,1,-2.2048,-0.2713,2305,6.32,0.5341,1.2187,1.1887,1.2521,2.4599,0.6314,2,standard
dev_747797,63,3,6,1,1,7,0.212,2,0,TypeScript,"Java,TypeScript",0.3747,0.1073,0.3636,16.73,0.8946,1.5179,36.43,1,0,0,0,-4.1753,0.489,785,2.15,0.2333,0.0,0.6209,0.5,0.3607,0.2046,0,standard
dev_962982,476,59,33,172,39,20,2.2136,5,4,Ruby,"C++,Kotlin,TypeScript,PHP,Swift",0.704,0.8509,0.5912,29.38,0.2435,2.1803,73.1,1,1,1,0,2.0672,0.0274,2565,7.03,0.703,1.2649,1.163,1.7329,3.2904,0.6226,2,standard
dev_680037,529,182,216,35,1,21,1.4776,2,3,Go,"Rust,Go",0.2413,0.3859,0.6192,46.96,0.868,2.6468,51.97,0,1,0,1,1.3898,0.0427,1793,4.91,0.7946,0.7388,0.6473,1.1516,6.5213,0.4582,1,standard
